iter	Passed	Remaining
0	0	264
1	1	217
2	1	195
3	2	186
4	3	180
5	3	174
6	4	174
7	4	172
8	5	169
9	5	166
10	6	164
11	6	162
12	7	160
13	7	158
14	8	156
15	8	155
16	9	153
17	9	152
18	10	151
19	10	150
20	11	149
21	11	146
22	12	145
23	12	144
24	13	143
25	13	143
26	14	142
27	14	141
28	15	140
29	15	140
30	16	140
31	16	140
32	17	139
33	17	139
34	18	139
35	18	138
36	19	138
37	19	137
38	20	137
39	20	136
40	21	135
41	21	135
42	22	134
43	22	133
44	23	133
45	23	132
46	24	131
47	24	131
48	25	130
49	25	129
50	26	129
51	27	128
52	27	128
53	28	127
54	28	126
55	29	126
56	29	125
57	30	125
58	30	124
59	31	124
60	31	124
61	32	124
62	32	123
63	33	123
64	33	122
65	34	122
66	35	122
67	35	121
68	36	121
69	36	120
70	37	119
71	37	119
72	38	118
73	38	118
74	39	117
75	39	116
76	40	116
77	40	115
78	41	115
79	41	114
80	42	114
81	42	113
82	43	112
83	43	112
84	44	111
85	44	111
86	45	110
87	45	110
88	46	109
89	46	109
90	47	108
91	47	108
92	48	107
93	48	107
94	49	106
95	49	106
96	50	105
97	50	105
98	51	104
99	51	103
100	52	103
101	53	102
102	53	102
103	54	101
104	54	101
105	55	100
106	55	100
107	56	99
108	56	99
109	57	98
110	57	98
111	58	97
112	58	96
113	59	96
114	59	95
115	60	95
116	60	94
117	61	94
118	61	93
119	62	93
120	62	92
121	63	92
122	63	91
123	64	91
124	64	90
125	65	90
126	65	89
127	66	89
128	66	88
129	67	88
130	67	87
131	68	87
132	68	86
133	69	86
134	69	85
135	70	85
136	71	84
137	71	84
138	72	83
139	72	83
140	73	82
141	73	81
142	74	81
143	74	80
144	75	80
145	75	79
146	76	79
147	76	78
148	77	78
149	77	77
150	78	77
151	79	76
152	79	76
153	80	75
154	80	75
155	81	74
156	81	74
157	82	73
158	82	73
159	83	72
160	83	72
161	84	71
162	84	71
163	85	70
164	85	70
165	86	69
166	86	69
167	87	68
168	87	67
169	88	67
170	88	66
171	89	66
172	89	65
173	90	65
174	90	64
175	91	64
176	92	64
177	92	63
178	93	63
179	94	62
180	94	62
181	95	61
182	96	61
183	96	60
184	97	60
185	97	60
186	98	59
187	99	59
188	99	58
189	100	58
190	100	57
191	101	57
192	102	56
193	102	56
194	103	55
195	103	55
196	104	54
197	105	54
198	105	53
199	106	53
200	107	52
201	107	52
202	108	51
203	108	51
204	109	50
205	110	50
206	110	49
207	111	49
208	111	48
209	112	48
210	112	47
211	113	47
212	114	46
213	114	46
214	115	45
215	115	45
216	116	44
217	116	43
218	117	43
219	118	42
220	118	42
221	119	41
222	119	41
223	120	40
224	120	40
225	121	39
226	122	39
227	123	38
228	123	38
229	124	37
230	124	37
231	125	36
232	125	36
233	126	35
234	127	35
235	127	34
236	128	34
237	128	33
238	129	33
239	129	32
240	130	31
241	130	31
242	131	30
243	132	30
244	132	29
245	133	29
246	133	28
247	134	28
248	134	27
249	135	27
250	136	26
251	136	26
252	137	25
253	137	24
254	138	24
255	139	23
256	139	23
257	140	22
258	140	22
259	141	21
260	141	21
261	142	20
262	143	20
263	143	19
264	144	19
265	144	18
266	145	17
267	145	17
268	146	16
269	146	16
270	147	15
271	148	15
272	148	14
273	149	14
274	149	13
275	150	13
276	150	12
277	151	12
278	152	11
279	152	10
280	153	10
281	154	9
282	154	9
283	155	8
284	155	8
285	156	7
286	156	7
287	157	6
288	157	5
289	158	5
290	158	4
291	159	4
292	159	3
293	160	3
294	160	2
295	161	2
296	161	1
297	162	1
298	162	0
299	163	0
